NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:15:15
DATA_INCLUDED	Angular Velocity
DATA_TYPES	HR_Angular_Velocity

Frame	Time	HR_Angular_Velocity	
979	9.78000	0.726
980	9.79000	1.334
981	9.80000	1.834
982	9.81000	2.566
983	9.82000	2.714
984	9.83000	1.930
985	9.84000	1.038
986	9.85000	0.203
987	9.86000	-0.656
988	9.87000	-1.459
989	9.88000	-2.086
990	9.89000	-2.394
991	9.90000	-2.139
992	9.91000	-1.356
993	9.92000	-0.924
994	9.93000	-0.636
995	9.94000	-0.175
996	9.95000	0.386
997	9.96000	1.048
998	9.97000	1.810
999	9.98000	2.674
1000	9.99000	0.000
