NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:18:44
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity_pre

Frame	Time	KR_Angular_Velocity_pre	
804	8.03000	3.983
805	8.04000	3.789
806	8.05000	3.464
807	8.06000	3.166
808	8.07000	3.182
809	8.08000	3.400
810	8.09000	3.802
811	8.10000	4.500
812	8.11000	5.272
813	8.12000	6.040
814	8.13000	6.978
815	8.14000	8.126
816	8.15000	9.496
817	8.16000	11.286
818	8.17000	13.302
819	8.18000	15.038
820	8.19000	16.627
821	8.20000	18.070
822	8.21000	18.842
823	8.22000	18.836
824	8.23000	18.355
825	8.24000	17.740
826	8.25000	17.318
827	8.26000	16.928
828	8.27000	16.446
829	8.28000	16.161
830	8.29000	16.510
831	8.30000	17.433
832	8.31000	19.123
833	8.32000	21.811
834	8.33000	25.227
835	8.34000	29.150
836	8.35000	33.442
837	8.36000	37.828
838	8.37000	42.124
839	8.38000	46.311
840	8.39000	50.319
841	8.40000	53.998
842	8.41000	57.682
843	8.42000	61.519
844	8.43000	65.159
845	8.44000	68.538
846	8.45000	71.855
847	8.46000	75.203
848	8.47000	78.456
849	8.48000	81.798
850	8.49000	85.253
851	8.50000	88.918
852	8.51000	92.701
853	8.52000	96.598
854	8.53000	100.706
855	8.54000	104.937
856	8.55000	109.218
857	8.56000	113.527
858	8.57000	117.796
859	8.58000	121.600
860	8.59000	125.228
861	8.60000	128.539
862	8.61000	130.802
863	8.62000	132.422
864	8.63000	133.624
865	8.64000	134.349
866	8.65000	134.833
867	8.66000	135.390
868	8.67000	135.895
869	8.68000	135.858
870	8.69000	135.814
871	8.70000	135.418
872	8.71000	134.604
873	8.72000	134.046
874	8.73000	133.390
875	8.74000	132.833
876	8.75000	132.811
877	8.76000	133.114
878	8.77000	133.558
879	8.78000	134.418
880	8.79000	135.741
881	8.80000	137.215
882	8.81000	138.511
883	8.82000	139.413
884	8.83000	139.388
885	8.84000	138.273
886	8.85000	136.338
887	8.86000	133.921
888	8.87000	131.356
889	8.88000	128.722
890	8.89000	125.808
891	8.90000	122.154
892	8.91000	117.308
893	8.92000	111.113
894	8.93000	103.690
895	8.94000	95.442
896	8.95000	87.172
897	8.96000	79.061
898	8.97000	72.283
899	8.98000	67.519
900	8.99000	63.408
901	9.00000	59.379
902	9.01000	55.245
903	9.02000	50.369
904	9.03000	44.813
905	9.04000	38.972
906	9.05000	32.700
907	9.06000	26.375
908	9.07000	21.944
909	9.08000	19.551
910	9.09000	17.416
911	9.10000	15.783
912	9.11000	15.450
913	9.12000	16.125
914	9.13000	15.933
915	9.14000	14.857
916	9.15000	13.994
917	9.16000	13.628
918	9.17000	13.865
919	9.18000	14.449
920	9.19000	15.164
921	9.20000	15.964
922	9.21000	17.357
923	9.22000	18.605
924	9.23000	17.770
925	9.24000	15.743
926	9.25000	14.117
927	9.26000	12.864
928	9.27000	12.037
929	9.28000	10.630
930	9.29000	7.691
931	9.30000	3.266
932	9.31000	-1.019
933	9.32000	-3.486
934	9.33000	-3.754
935	9.34000	-2.414
936	9.35000	0.281
937	9.36000	4.511
938	9.37000	9.387
939	9.38000	13.092
940	9.39000	14.068
941	9.40000	12.541
942	9.41000	10.356
943	9.42000	8.672
944	9.43000	7.266
945	9.44000	5.818
946	9.45000	4.621
947	9.46000	3.976
948	9.47000	4.048
949	9.48000	4.545
950	9.49000	4.785
951	9.50000	4.631
952	9.51000	4.097
953	9.52000	3.290
954	9.53000	2.320
955	9.54000	1.117
956	9.55000	-0.137
957	9.56000	-1.273
958	9.57000	-1.969
959	9.58000	-2.216
960	9.59000	-2.191
961	9.60000	-1.870
962	9.61000	-1.429
963	9.62000	-0.781
964	9.63000	0.100
965	9.64000	0.879
966	9.65000	1.546
967	9.66000	2.070
968	9.67000	2.339
969	9.68000	2.348
970	9.69000	2.076
971	9.70000	1.529
972	9.71000	0.821
973	9.72000	0.303
974	9.73000	0.027
975	9.74000	-0.144
976	9.75000	-0.129
977	9.76000	0.100
978	9.77000	0.490
979	9.78000	0.895
980	9.79000	1.037
981	9.80000	1.043
982	9.81000	0.995
983	9.82000	0.864
984	9.83000	0.607
985	9.84000	0.103
986	9.85000	-0.487
987	9.86000	-1.029
988	9.87000	-1.513
989	9.88000	-1.905
990	9.89000	-2.208
991	9.90000	-2.153
992	9.91000	-1.727
993	9.92000	-1.091
994	9.93000	-0.250
995	9.94000	0.529
996	9.95000	1.185
997	9.96000	1.867
998	9.97000	2.541
999	9.98000	3.208
1000	9.99000	0.000
