NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:13:34
DATA_INCLUDED	Angular Velocity
DATA_TYPES	LL_Angular_Velocity

Frame	Time	LL_Angular_Velocity	
976	9.75000	-8.906
977	9.76000	-5.070
978	9.77000	-0.286
979	9.78000	4.546
980	9.79000	8.667
981	9.80000	11.375
982	9.81000	12.352
983	9.82000	11.837
984	9.83000	10.394
985	9.84000	8.347
986	9.85000	6.051
987	9.86000	3.748
988	9.87000	1.223
989	9.88000	-1.357
990	9.89000	-3.384
991	9.90000	-4.148
992	9.91000	-3.461
993	9.92000	-1.531
994	9.93000	1.196
995	9.94000	2.563
996	9.95000	3.984
997	9.96000	5.457
998	9.97000	6.984
999	9.98000	8.564
1000	9.99000	0.000
